0,CHEMICAL CONSTITUENTS,ChEMBL_ID,SMILES,standard_value,units,bioactivity_class
12,Bruceanic acids E,,,10000.0,nM,Intermediate
13,Bruceanic acids F,,,10000.0,nM,Intermediate
14,Bruceanic acids E ,,,10000.0,nM,Intermediate
15,Javanicolide A,,,10000.0,nM,Intermediate
16,Javanicolide B,,,10000.0,nM,Intermediate
17,Javanicolide C,CHEMBL443898,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C[C@@H](O)[C@@H](O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,100.0,ug.mL-1,Active
18,Javanicolide D,CHEMBL503843,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)[C@H](O)[C@@H](O)C=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)(C)O)[C@@H]24,18.0,ug.mL-1,Active
19,Javanicolide E,CHEMBL2037041,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)[C@H](O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,10000.0,nM,Intermediate
20,Javanicolide H,CHEMBL2037037,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C[C@H](O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,10000.0,nM,Intermediate
21,Javanicoside B,CHEMBL503591,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C(=O)C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)=C[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)CC(C)C)[C@@H]24,5.6,ug.mL-1,Active
22,Javanicoside C,CHEMBL446883,COC(=O)[C@@]12OC[C@@]34[C@@H](CC5=C(C)C(=O)C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)=C[C@]5(C)[C@H]3[C@@H](O)[C@@H]1O)OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,18.0,ug.mL-1,Active
23,Javanicoside D,CHEMBL451166,CC/C(=C\C(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3[C@H](C)C(=O)C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C[C@]3(C)[C@H]3[C@@H](O)[C@H](O)[C@@]4(C(=O)OC)OC[C@]32[C@@H]14)C(C)(C)O,89.0,ug.mL-1,Active
24,Javanicoside E,CHEMBL508819,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)CC(C)C(C)(C)OC(C)=O)[C@@H]24,16.0,ug.mL-1,Active
25,Javanicoside F,CHEMBL510116,CC/C(C)=C/C(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3[C@H](C)C(=O)C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C[C@]3(C)[C@H]3[C@@H](O)[C@H](O)[C@@]4(C(=O)OC)OC[C@]32[C@@H]14,50.0,ug.mL-1,Active
26,Javanicoside G,,,16.0,ug.mL-1,Active
27,Javanicoside I,,,16.0,ug.mL-1,Active
28,Javanicoside J,,,16.0,ug.mL-1,Active
29,Javanicoside K,,,16.0,ug.mL-1,Active
30,Javanicoside L,,,16.0,ug.mL-1,Active
31,Javanic acids A,,,10000.0,nM,Intermediate
32,Javanic acids B,,,10000.0,nM,Intermediate
33,Yadanzioside A,CHEMBL2367704,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)CC(C)C)[C@@H]24,146000.0,nM,Inactive
34,Yadanzioside B,CHEMBL2367700,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)CC(C)C)[C@@H]24,4000.0,nM,Intermediate
35,Yadanzioside C,CHEMBL499465,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)/C=C(\C)C(C)(C)O)[C@@H]24,55000.0,nM,Inactive
36,Yadanzioside E,CHEMBL2367698,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,29000.0,nM,Inactive
